title,company,location,description
Application Administrator (*),Schenker AG Head Office,Essen,Log data translation and import in Elasticsearch.We are searching an Application Administrator for the team SWORD Operations within the department Global…
"Applied Scientist, Machine Learning University",Amazon Development Center DEU,Berlin,"PhD degree in data science, computer science, machine learning, mathematics, or related field.Several years of experience in machine learning production…"
Analyst (m/w/d) BI / Business Intelligence,ManpowerGroup,Mannheim,"Für unseren Kunden, die Metso: Outotec suchen wir als ManpowerGroup Solutions ab sofort einen Business Intelligence Analysten (m/w/d) im Großraum Mannheim.."
Audit Project Leader,BNY Mellon,Frankfurt am Main,"Applies a deep understanding of core and advanced concepts in data analytics, relevant technology, the regulatory environment, the financial services industry,…"
Client Executive Partner Justice Authorities Germany (m/w/d),Atos,Gelsenkirchen,"O A degree in computer science or a comparable qualification.Client Executive Partner Justice Authorities Germany (m/w/d).Publish Date: Dec 18, 2020."
Data Analyst (m/w/d),AVANTGARDE Experts,Ingolstadt,"AVANTGARDE Experts vermittelt deutschlandweit Software-Engineering-Experten für Webentwicklung, Mobile, Data Science, AI und in vielen weiteren Bereichen –…"
Strategic Sales Analyst (m/f/x),DHL Supply Chain,Bonn,"Furthermore, you will apply data analytics and data science techniques to measure and drive performance.3-5 years of work in the space of Sales & Marketing…"
Creative Marketer (intern/working student) (m/w/x),Process& GmbH,München,You will work independently with our data science and sales team to generate significant sales growth for Process&.... are out-going and hands-on.
Two Research Software Engineers,Forschungszentrum Jülich,Garching bei München,"We support instrument users, and participate in exemplary data analyses.In addition, the JCNS is actively pursuing a a research program in the field of soft…"
Senior Research Scientist*in - Computer Vision and Machine Learning,Bosch Group,Hildesheim,"Take responsibility: Push cutting-edge research to accelerate Bosch’s data-driven AI efforts in machine learning / deep learning (e.g., analyze existing and…"
Senior Data Engineer (w/m/d),Deutsche Bahn,Frankfurt am Main,"Wenn es darum geht, zukünftig Millionen Fahrgäste und tausende Züge auch digital auf den Weg zu bringen, braucht es die besten IT-Experten."
Research Engineer (m/f/d),neurocat GmbH,Berlin,"Several years of work experience in a data science- and/or ML-related context (i.e., statistics and/or optimization).Join our team at neurocat*."
Global Safety Scientist (m/f/d),Grünenthal,Aachen,"Profound medical and scientific understanding for assessing safety data.As a science-based, privately-owned pharmaceutical company, we have a long track record…"
PhD ctDNA (m/w/d),TRON,Mainz, Analyze time series data from clinical studies.Experience in next generation sequencing data analysis and immuno-informatics.
Carbon Markets Expert,Yara,Berlin,Korn Ferry will manage your data according to their privacy policy (https://www.kornferry.com/privacy) and Data Processing Agreement entered into with Yara.
"2 PhD positions 3 years 25,88 h/w",Ruhr Universität Bochum,Bochum,"Suitable candidates (m/f/d) have experience in one or more of the following areas: phylogenetics/phylogenomics and/or population genomics, preparation and…"
Projekt-/ Prozessmanager (m/w/d) Digitalisierung,Liebherr-Hydraulikbagger GmbH,Kirchdorf an der Iller,Verantworten und Leiten von bereichsübergreifenden Projekten im Bereich Sales Administration von der Konzeption bis zur Umsetzung.
Academic research assistant (m/f/x),Universität des Saarlandes,Saarbrücken,Computer science and in the life sciences and nanosciences.Engage in interdisciplinary collaborations between molecular biology and computer science to drive…
"Doktorand (m/w/d) 19,91 Std./Woche - 3 Jahre",Ruhr Universität Bochum,Bochum,"Our graduate school offers a three year program that combines cutting-edge research with a structured curriculum (in English) of lectures, colloquia and…"
Scientist Bioanalytics - Immunological Assays (m/f/d),LAVA Therapeutics B.V.,München,"You are highly self-motivated and able to independently setup experimental strategies and data analysis using software such as GraphPad Prism, SoftMax Pro, and…"
Process Modelling and Simulation Expert (m/f/d),Linde Gas GmbH,Pullach im Isartal,"Designing and implementing software solutions for data analysis and operation support.Concepts for process control, data analytics and predictive maintenance…"
